36;AEROCARIBBEAN AIRLINES;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
9611;AL NOUR RADIO;-0- ;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Additional Sanctions Information - Subject to Secondary Sanctions Pursuant to the Hizballah Financial Sanctions Regulations;;;;;;;;;;;;;;;
9613;BADRI, Gabril Abdul Kareem;individual;DARFUR;Colonel for the National Movement for Reform and Development (NMRD);-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB circa 1961;;;;;;;;;;;;;;;
9614;BA'ASYIR, Abu Bakar;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 17 Aug 1938;;;;;;;;;;;;;;;
9615;GUNAWAN, Gun Gun Rusman;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 06 Jul 1977;;;;;;;;;;;;;;;
9616;RIFKI, Taufik;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 29 Aug 1974; a.k.a. 'ABU OBAIDA'; a.k.a. 'ABU OBAIDAH'; a.k.a. 'ABU OBEIDA'; a.k.a. 'ABU UBAIDAH'; a.k.a. 'OBAIDAH'; a.k.a. 'ABU OBAYDA';" a.k.a. 'IZZA KUSOMAN'.""";;;;;;;;
9617;ANSHORI, Abdullah;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1958;;;;;;;;;;;;;;;
9618;KOHAS AG;-0- ;NPWMD;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Secondary sanctions risk: North Korea Sanctions Regulations, sections 510.201 and 510.210;;;;;;;;;;;;;;;
9619;STEIGER, Jakob;individual;NPWMD;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 27 Apr 1941;;;;;;;;;;;;;;;
9620;EL HASSAN, Gaffar Mohmed;individual;DARFUR;Major General for the Sudan Armed Forces;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 24 Jun 1952;;;;;;;;;;;;;;;
9621;SHANT, Adam Yacub;individual;DARFUR;Commander for the Sudan Liberation Army (SLA);-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB circa 1976;;;;;;;;;;;;;;;
9647;ZAHHAR, Mahmoud Khaled;individual;SDGT] [NS-PLC;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1945;;;;;;;;;;;;;;;
9659;HAMMAD, Fathi Ahmad Mohammad;individual;SDGT] [NS-PLC;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1961;;;;;;;;;;;;;;;
9749;LIMMT ECONOMIC AND TRADE COMPANY, LTD.;-0- ;NPWMD] [IFSR;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Additional Sanctions Information - Subject to Secondary Sanctions;;;;;;;;;;;;;;;
9750;BEIJING ALITE TECHNOLOGIES CO., LTD.;-0- ;NPWMD] [IFSR;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Additional Sanctions Information - Subject to Secondary Sanctions;;;;;;;;;;;;;;;
9753;CHINA NATIONAL PRECISION MACHINERY IMPORT/EXPORT CORPORATION;-0- ;NPWMD] [IFSR;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Additional Sanctions Information - Subject to Secondary Sanctions;;;;;;;;;;;;;;;
9754;NAWAY, Haji Ali;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB circa 1945;;;;;;;;;;;;;;;
9756;AMEZCUA CONTRERAS ORGANIZATION;-0- ;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
9757;JAMIL GEORGES, Fahd;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 07 Jun 1941;;;;;;;;;;;;;;;
9758;IBRAHIM, Dawood;individual;SDNTK] [SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 26 Dec 1955; alt. Passport K-560098 (India) issued 30 Jul 1975; alt. Passport V-57865 (India) issued 03 Oct 1983; alt. Passport G-866537 (Pakistan) issued 12 Aug 1991; alt. Passport G-869537 (Pakistan); alt. Passport F-823692 (Yemen) issued 02 Sep 1989;" alt. Passport A-717288 (United Arab Emirates) issued 18 Aug 1985.""";;;;;;;;;
9759;DAWOOD IBRAHIM ORGANIZATION;-0- ;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;a.k.a. 'D COMPANY'.;;;;;;;;;;;;;;;
9760;LUKASHENKA, Alyaksandr Ryhorovich;individual;BELARUS;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 30 Aug 1954;;;;;;;;;;;;;;;
9761;HALAVANAU, Viktar Hryhoryavich;individual;BELARUS;Minister of Justice;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1952;;;;;;;;;;;;;;;
9762;ZIMOUSKY, Aliaksandr Leanidavich;individual;BELARUS;Head of the Belarusian State Television and Radio Company (BSTRC);;;;;;;;;;;;;;;;;;;;;;
9763;SANAM INDUSTRIAL GROUP;-0- ;NPWMD] [IFSR;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Additional Sanctions Information - Subject to Secondary Sanctions.;;;;;;;;;;;;;;;
9764;YA MAHDI INDUSTRIES GROUP;-0- ;NPWMD] [IFSR;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Additional Sanctions Information - Subject to Secondary Sanctions;;;;;;;;;;;;;;;
9766;SUKHARENKA, Stiapan Mikalayevich;individual;BELARUS;Chairman of Belarusian KGB;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 27 Jan 1957;;;;;;;;;;;;;;;
9768;PAULICHENKA, Dzmitry Valeryevich;individual;BELARUS;Colonel in BKGB and Commander of the Special Response Group of the Ministry of the Interior (SOBR);-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1966;;;;;;;;;;;;;;;
9769;SHEIMAN, Viktar Uladzimiravich;individual;BELARUS;State Secretary of the Security Council;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 26 May 1958;;;;;;;;;;;;;;;
9770;YARMOSHINA, Lidziya Mihaulauna;individual;BELARUS;Head of the Central Commission for Elections and National Referendums (CEC);-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 29 Jan 1953;;;;;;;;;;;;;;;
9771;PIATKEVICH, Natallia Uladzimirauna;individual;BELARUS;Deputy Head of the President's Administration;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 24 Oct 1972;;;;;;;;;;;;;;;
9797;LUKASHENKA, Viktar Aliaksandravich;individual;BELARUS;Head of Presidential Guard;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1976;;;;;;;;;;;;;;;
9898;NAUMAU, Uladzimir Uladzimiravich;individual;BELARUS;Minister of the Interior;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1956;;;;;;;;;;;;;;;
9932;AL-MUJIL, Abd Al Hamid Sulaiman Muhammed;individual;SDGT;Doctor;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 28 Apr 1949;;;;;;;;;;;;;;;
9935;'ABD AL-RAZZIQ, Abu Sufian al-Salamabi Muhammed Ahmed;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 06 Aug 1962; a.k.a. 'ABU SUFIAN';" a.k.a. 'ABU JUIRIAH'.""";;;;;;;;;;;;;
9936;NETHERLANDS CARIBBEAN BANK N.V.;-0- ;CUBA;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
9941;IKHTIYAR, Hisham;individual;SYRIA;Major General;;;;;;;;;;;;;;;;;;;;;;
9947;RAMIREZ ABADIA Y CIA. S.C.S.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800117676-4 (Colombia).;;;;;;;;;;;;;;;
9948;DISDROGAS LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800058576-2 (Colombia).;;;;;;;;;;;;;;;
9949;ISLAMIC RESISTANCE SUPPORT ORGANIZATION;-0- ;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Additional Sanctions Information - Subject to Secondary Sanctions Pursuant to the Hizballah Financial Sanctions Regulations.;;;;;;;;;;;;;;;
9964;YOUSSER COMPANY FOR FINANCE AND INVESTMENT;-0- ;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Additional Sanctions Information - Subject to Secondary Sanctions Pursuant to the Hizballah Financial Sanctions Regulations.;;;;;;;;;;;;;;;
9965;BAYT AL-MAL;-0- ;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Additional Sanctions Information - Subject to Secondary Sanctions Pursuant to the Hizballah Financial Sanctions Regulations.;;;;;;;;;;;;;;;
9966;AL-SHAMI, Husayn;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1948;;;;;;;;;;;;;;;
9971;PLAYA MAR S.A. DE C.V.;-0- ;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;R.F.C. # PMA-910805 (Mexico).;;;;;;;;;;;;;;;
9972;INMOBILIARIA ESPARTA S.A. DE C.V.;-0- ;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;R.F.C. # IES-870805 (Mexico).;;;;;;;;;;;;;;;
9973;INMOBILIARIA LA PROVINCIA S.A. DE C.V.;-0- ;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;R.F.C. # IPR-931014 (Mexico).;;;;;;;;;;;;;;;
9974;INMOBILIARIA ESTADO 29 S.A. DE C.V.;-0- ;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;R.F.C. # IEV-950628 (Mexico).;;;;;;;;;;;;;;;
9975;INMOBILIARIA TIJUANA COSTA S.A. DE C.V.;-0- ;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;R.F.C. # ITC-910503 (Mexico).;;;;;;;;;;;;;;;
9976;HERNANDEZ SOMERO, Urbano;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 25 May 1943;;;;;;;;;;;;;;;
9978;URIBE URIBE, Miguel Angel;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 02 Aug 1957;;;;;;;;;;;;;;;
9979;JIMENEZ PEREZ, Jose Julian Bruno;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 19 Jun 1961;;;;;;;;;;;;;;;
9982;PELAYO MENDOZA, Franco Arturo;individual;SDNTK;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 02 Feb 1953;;;;;;;;;;;;;;;
9983;HERNANDEZ ARBOLEDA, Sandra Milena;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Cedula No. 42109136 (Colombia).;;;;;;;;;;;;;;;
9990;GOMEZ BUSTAMANTE, Wilmer de Jesus;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 26 Jan 1970;;;;;;;;;;;;;;;
9991;GIRALDO FRANCO, Juan Carlos;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 10 Jun 1971;;;;;;;;;;;;;;;
9992;ROJAS FRANCO, Jaime;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 24 Dec 1957;;;;;;;;;;;;;;;
9993;CANO ALZATE, Yolanda Sofia;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 25 Apr 1957;;;;;;;;;;;;;;;
9994;GOMEZ OCAMPO, Davinson;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 10 Jul 1960;;;;;;;;;;;;;;;
9995;PATINO RESTREPO, Carlos Arturo;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 27 Apr 1964;;;;;;;;;;;;;;;
9996;GOMEZ BUSTAMANTE, Luis Alfonso;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 01 Nov 1953;;;;;;;;;;;;;;;
9999;RENDON RAMIREZ, Jose Aldemar;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 24 Jul 1950;;;;;;;;;;;;;;;
10000;CANO CORREA, Jhon Eidelber;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 13 Dec 1963;;;;;;;;;;;;;;;
10001;INVERSIONES MACARNIC PATINO Y CIA S.C.S.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 816005011-4 (Colombia).;;;;;;;;;;;;;;;
10002;COMERCIALIZADORA DE CAFE DEL OCCIDENTE CODECAFE LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 816004106-0 (Colombia).;;;;;;;;;;;;;;;
10003;GOMEZ MARIN LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800102465-1 (Colombia).;;;;;;;;;;;;;;;
10004;GAVIOTAS LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800032092-7 (Colombia);;;;;;;;;;;;;;;
10005;CANO AGUDELO S EN C;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 821002095-7 (Colombia).;;;;;;;;;;;;;;;
10007;AHMAD, Najmuddin Faraj;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 07 Jul 1956;;;;;;;;;;;;;;;
10009;AL-ALI, Hamid;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 20 Jan 1960;;;;;;;;;;;;;;;
10010;AL-JALAMAH, Jaber;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 24 Sep 1959;;;;;;;;;;;;;;;
10011;AL-BATHALI, Mubarak Mushakhas Sanad;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 01 Oct 1961;;;;;;;;;;;;;;;
10012;KOREA HYOKSIN TRADING CORPORATION;-0- ;NPWMD;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Secondary sanctions risk: North Korea Sanctions Regulations, sections 510.201 and 510.210;;;;;;;;;;;;;;;
10030;POPOV, Dimitri Igorevich;individual;DRCONGO;General Manager, Great Lakes Business Company and Compagnie Aerienne des Grands Lacs;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 13 Feb 1961;;;;;;;;;;;;;;;
10033;MANDRO, Khawa Panga;individual;DRCONGO;former President, Party for Unity and Safeguarding of the Integrity of Congo (PUSIC);-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 20 Aug 1973;;;;;;;;;;;;;;;
10034;MPANO, Douglas;individual;DRCONGO;Manager, Great Lakes Business Company and Compagnie Aerienne des Grands Lacs;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 28 Dec 1965;;;;;;;;;;;;;;;
10035;NKUNDA, Laurent;individual;DRCONGO;Founder, National Congress for the People's Defense;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 06 Feb 1967;;;;;;;;;;;;;;;
10036;MURWANASHYAKA, Ignace;individual;DRCONGO;President, Forces Democratiques pour la Liberation du Rwanda (FDLR);-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 14 May 1963;;;;;;;;;;;;;;;
10042;BARAKAT, Hatim Ahmad;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 25 Sep 1961;;;;;;;;;;;;;;;
10043;BARAKAT, Hamzi Ahmad;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 10 Jan 1963;;;;;;;;;;;;;;;
10044;FAYAD, Sobhi Mahmoud;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 20 Aug 1965;;;;;;;;;;;;;;;
10045;FAYAD, Saleh Mahmoud;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 20 Oct 1972;;;;;;;;;;;;;;;
10046;CASA HAMZE;-0- ;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Paraguayan tax identification number BAHA 6301000.;;;;;;;;;;;;;;;
10047;ABDALLAH, Muhammad Yusif;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 15 Jun 1952;;;;;;;;;;;;;;;
10048;OMAIRI, Farouk;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 06 Dec 1945;;;;;;;;;;;;;;;
10049;TARABAIN CHAMAS, Mohamad;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 11 Jan 1967;;;;;;;;;;;;;;;
10050;BARAKAT, Mohammad Fayez;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 11 Mar 1969;;;;;;;;;;;;;;;
10051;KAZAN, Ali Muhammad;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 19 Dec 1967;;;;;;;;;;;;;;;
10052;GALERIA PAGE;-0- ;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Additional Sanctions Information - Subject to Secondary Sanctions Pursuant to the Hizballah Financial Sanctions Regulations.;;;;;;;;;;;;;;;
10053;JIHAD AL-BINA;-0- ;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Additional Sanctions Information - Subject to Secondary Sanctions Pursuant to the Hizballah Financial Sanctions Regulations.;;;;;;;;;;;;;;;
10114;AL GHABRA, Mohammed;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 01 Jun 1980;;;;;;;;;;;;;;;
10116;CARGO FREIGHT INTERNATIONAL;-0- ;DRCONGO;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
10117;COMPAGNIE AERIENNE DES GRANDS LACS;-0- ;DRCONGO;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
10118;GREAT LAKES BUSINESS COMPANY;-0- ;DRCONGO;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
10119;TAHA, Khalil Ibrahim Mohamed Achar Foudail;individual;DARFUR;Chairman, Justice and Equality Movement;;;;;;;;;;;;;;;;;;;;;;
10122;KALAYE ELECTRIC COMPANY;-0- ;NPWMD] [IFSR;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Additional Sanctions Information - Subject to Secondary Sanctions.;;;;;;;;;;;;;;;
10128;HIGHER INSTITUTE OF APPLIED SCIENCE AND TECHNOLOGY;-0- ;NPWMD;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
10129;ELECTRONICS INSTITUTE;-0- ;NPWMD;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
10130;NATIONAL STANDARDS AND CALIBRATION LABORATORY;-0- ;NPWMD;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
10131;DOCKRAT, Farhad Ahmed;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 28 Feb 1959;;;;;;;;;;;;;;;
10132;DOCKRAT, Junaid Ismail;individual;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 16 Mar 1971;;;;;;;;;;;;;;;
10133;SNIPER AFRICA;-0- ;SDGT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Website www.sniperafrica.com;;;;;;;;;;;;;;;
10136;MIKLASHEVICH, Petr Petrovich;individual;BELARUS;Prosecutor General;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 1954;;;;;;;;;;;;;;;
10137;PODOBED, Yury Nikolaevich;individual;BELARUS;Commander of the Special Riot Police in Minsk (OMON);-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 05 Mar 1962;;;;;;;;;;;;;;;
10138;SLIZHEVSKY, Oleg Leonidovich;individual;BELARUS;Justice Minister of the Republic of Belarus;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 16 Aug 1972;;;;;;;;;;;;;;;
10139;RADKOV, Aleksandr Mikhailovich;individual;BELARUS;Minister of Education;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 01 Jul 1951;;;;;;;;;;;;;;;
10140;RUSAKEVICH, Vladimir Vasilyevich;individual;BELARUS;Minister of Information;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 13 Sep 1947;;;;;;;;;;;;;;;
10142;SIVAKOV, Yury;individual;BELARUS;former Minister of Sport and Tourism;;;;;;;;;;;;;;;;;;;;;;
10143;BUTEMBO AIRLINES;-0- ;DRCONGO;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
10144;CONGOCOM TRADING HOUSE;-0- ;DRCONGO;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
10145;MACHANGA LTD.;-0- ;DRCONGO;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
10146;UGANDA COMMERCIAL IMPEX;-0- ;DRCONGO;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;;;;;;;;;;;;;;;
10148;OZIA MAZIO, Dieudonne;individual;DRCONGO;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 06 Jun 1949;;;;;;;;;;;;;;;
10153;DEFENSE INDUSTRIES ORGANIZATION;-0- ;NPWMD] [IFSR] [IRAN-CON-ARMS-EO;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;Additional Sanctions Information - Subject to Secondary Sanctions;;;;;;;;;;;;;;;
10154;HARUN, Ahmad Muhammed;individual;DARFUR;State Minister for Humanitarian Affairs;;;;;;;;;;;;;;;;;;;;;;
10155;AUF, Awad Ibn;individual;DARFUR;Head of Military Intelligence and Security;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB circa 1954;;;;;;;;;;;;;;;
10214;OCHOA VASCO, Fabio Enrique;individual;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;DOB 20 Nov 1960;;;;;;;;;;;;;;;
10220;INVERSIONES MPS S.A.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800231392-5 (Colombia).;;;;;;;;;;;;;;;
10222;PROYECTOS Y SOLUCIONES INMOBILIARIA LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800014349-8 (Colombia).;;;;;;;;;;;;;;;
10223;GERENCIA DE PROYECTOS Y SOLUCIONES LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800231600-2 (Colombia).;;;;;;;;;;;;;;;
10226;CONSTRUCTORA AMERICA S.A.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 830125002-3 (Colombia).;;;;;;;;;;;;;;;
10229;ORIMAR LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 801076804-7 (Colombia).;;;;;;;;;;;;;;;
10230;AUDITORES ESPECIALIZADOS LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 830041980-1 (Colombia).;;;;;;;;;;;;;;;
10232;HOTEL LA CASCADA S.A.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 890601336-8 (Colombia).;;;;;;;;;;;;;;;
10234;INVERSIONES Y REPRESENTACIONES S.A.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 811040270-5 (Colombia).;;;;;;;;;;;;;;;
10236;TRANSPORTES MICHAEL LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 802024118-3 (Colombia).;;;;;;;;;;;;;;;
10237;COOPERATIVA DE SERVICIO DE TRANSPORTE DE CARGA DE COLOMBIA LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 802019665-0 (Colombia).;;;;;;;;;;;;;;;
10238;CASTRO CURE Y CIA. S. EN C.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 802001885-5 (Colombia).;;;;;;;;;;;;;;;
10239;CURE SABAGH Y CIA. S.C.S.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 802000463-6 (Colombia).;;;;;;;;;;;;;;;
10240;FUDIA LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 800230555-4 (Colombia).;;;;;;;;;;;;;;;
10241;CABLES NACIONALES S.A.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 802005017-7 (Colombia).;;;;;;;;;;;;;;;
10242;INVERSIONES AGROPECUARIA ARIZONA LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 802019694-4 (Colombia).;;;;;;;;;;;;;;;
10243;VERANILLO DIVE CENTER LTDA.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 802008393-5 (Colombia).;;;;;;;;;;;;;;;
10244;MARTIN HODWALKER M. & CIA. S. EN C.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 802007314-9 (Colombia).;;;;;;;;;;;;;;;
10245;DESARROLLO GEMMA CORPORATION;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;RUC # 25544701403775 (Panama).;;;;;;;;;;;;;;;
10246;ROCK FISH IMPORT EXPORT E.U.;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;NIT # 827000913-1 (Colombia).;;;;;;;;;;;;;;;
10247;AQUAMARINA ISLAND INTERNATIONAL CORPORATION;-0- ;SDNT;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;-0- ;RUC # 2120851397079 (Panama).;;;;;;;;;;;;;;;
